lsoa11cd,lsoa_name_2,lad19cd,lad19nm,wimd_deciles,wimd_income_domain_deciles,wimd_employment_domain_deciles,wimd_health_domain_deciles,wimd_education_domain_deciles,wimd_access_to_services_domain_deciles,wimd_housing_domain_deciles,wimd_physical_environment_domain_deciles,wimd_community_safety_domain_deciles,region_name
W01000953,Neath Port Talbot 005B,W06000012,Neath Port Talbot,3,3,3,3,5,4,5,4,8,Mid and South West Wales
W01001642,Newport 013A,W06000022,Newport,2,3,3,5,2,5,2,1,1,South East Wales
W01001249,Rhondda Cynon Taf 024A,W06000016,Rhondda Cynon Taf,4,3,3,3,3,7,7,6,4,South East Wales
W01001050,Bridgend 008D,W06000013,Bridgend,3,3,3,2,4,10,4,6,2,South East Wales
W01001093,The Vale of Glamorgan 013C,W06000014,Vale of Glamorgan,3,3,2,3,4,4,7,4,3,South East Wales
W01001910,The Vale of Glamorgan 012G,W06000014,Vale of Glamorgan,2,2,2,2,5,9,1,4,1,South East Wales
W01000178,Conwy 010E,W06000003,Conwy,2,2,2,2,3,6,4,6,2,North Wales
W01000501,Powys 003D,W06000023,Powys,6,6,6,8,5,3,5,8,6,Mid and South West Wales
W01000634,Carmarthenshire 021C,W06000010,Carmarthenshire,7,5,5,8,7,5,9,6,7,Mid and South West Wales
W01000519,Ceredigion 010A,W06000008,Ceredigion,6,7,8,7,8,1,3,10,10,Mid and South West Wales
W01001032,Bridgend 018B,W06000013,Bridgend,9,8,9,8,9,6,8,9,10,South East Wales
W01000675,Carmarthenshire 012A,W06000010,Carmarthenshire,7,8,8,8,8,1,3,6,9,Mid and South West Wales
W01000544,Ceredigion 007C,W06000008,Ceredigion,6,5,7,9,5,9,1,4,5,Mid and South West Wales
W01000378,Wrexham 004B,W06000006,Wrexham,2,2,3,2,1,6,5,9,1,North Wales
W01000545,Ceredigion 007D,W06000008,Ceredigion,6,8,8,10,7,1,5,7,9,Mid and South West Wales
W01001285,Rhondda Cynon Taf 014D,W06000016,Rhondda Cynon Taf,4,5,4,4,2,8,3,4,3,South East Wales
W01001065,The Vale of Glamorgan 012B,W06000014,Vale of Glamorgan,5,5,6,5,4,10,1,3,2,South East Wales
W01000575,Pembrokeshire 008C,W06000009,Pembrokeshire,6,6,6,5,5,2,8,6,8,Mid and South West Wales
W01000680,Carmarthenshire 011A,W06000010,Carmarthenshire,7,7,7,8,8,3,9,1,8,Mid and South West Wales
W01000784,Swansea 007A,W06000011,Swansea,8,7,6,6,9,7,8,8,9,Mid and South West Wales
W01001313,Merthyr Tydfil 006F,W06000024,Merthyr Tydfil,4,4,3,5,4,9,1,1,6,South East Wales
W01001477,Blaenau Gwent 009E,W06000019,Blaenau Gwent,4,4,5,5,4,6,2,6,3,South East Wales
W01000662,Carmarthenshire 016A,W06000010,Carmarthenshire,6,6,5,6,6,3,7,5,7,Mid and South West Wales
W01000690,Carmarthenshire 019A,W06000010,Carmarthenshire,7,7,6,6,7,4,8,5,8,Mid and South West Wales
W01001216,Rhondda Cynon Taf 011D,W06000016,Rhondda Cynon Taf,3,3,3,3,3,7,2,2,7,South East Wales
W01000700,Carmarthenshire 027G,W06000010,Carmarthenshire,7,8,8,8,9,1,6,7,9,Mid and South West Wales
W01001665,Newport 008D,W06000022,Newport,4,3,5,3,4,7,6,1,4,South East Wales
W01000671,Carmarthenshire 018B,W06000010,Carmarthenshire,6,6,5,7,6,2,5,7,7,Mid and South West Wales
W01001749,Cardiff 027C,W06000015,Cardiff,4,3,4,4,4,5,7,5,4,South East Wales
W01000803,Swansea 002F,W06000011,Swansea,6,6,7,7,7,1,4,5,6,Mid and South West Wales
W01001121,The Vale of Glamorgan 014E,W06000014,Vale of Glamorgan,5,4,4,4,5,9,5,7,5,South East Wales
W01001258,Rhondda Cynon Taf 019E,W06000016,Rhondda Cynon Taf,3,4,4,4,3,8,3,1,1,South East Wales
W01000926,Neath Port Talbot 003C,W06000012,Neath Port Talbot,6,5,5,4,6,8,7,2,8,Mid and South West Wales
W01000704,Carmarthenshire 022B,W06000010,Carmarthenshire,7,7,6,7,8,7,9,2,5,Mid and South West Wales
W01000906,Neath Port Talbot 007A,W06000012,Neath Port Talbot,8,7,7,7,8,6,10,5,7,Mid and South West Wales
W01000829,Swansea 018C,W06000011,Swansea,7,6,5,5,6,8,7,8,9,Mid and South West Wales
W01001250,Rhondda Cynon Taf 024B,W06000016,Rhondda Cynon Taf,5,6,5,4,5,2,7,6,2,South East Wales
W01000984,Bridgend 016D,W06000013,Bridgend,8,6,7,7,7,6,10,7,10,South East Wales
W01001289,Merthyr Tydfil 006A,W06000024,Merthyr Tydfil,3,4,3,4,2,3,1,9,5,South East Wales
W01001263,Rhondda Cynon Taf 022E,W06000016,Rhondda Cynon Taf,5,8,8,6,2,3,2,4,8,South East Wales
W01001863,Cardiff 022A,W06000015,Cardiff,5,5,6,7,3,10,3,1,4,South East Wales
W01000986,Bridgend 007A,W06000013,Bridgend,6,6,6,4,6,4,10,7,5,South East Wales
W01000998,Bridgend 011A,W06000013,Bridgend,8,9,10,7,7,2,9,6,7,South East Wales
W01000955,Neath Port Talbot 004E,W06000012,Neath Port Talbot,7,6,6,7,8,4,9,7,9,Mid and South West Wales
W01001016,Bridgend 005C,W06000013,Bridgend,6,6,4,4,6,4,6,5,8,South East Wales
W01000022,Isle of Anglesey 004A,W06000001,Isle of Anglesey,5,6,7,6,5,1,2,9,8,North Wales
W01001455,Blaenau Gwent 008F,W06000019,Blaenau Gwent,3,4,3,3,3,7,4,6,3,South East Wales
W01000974,Bridgend 006A,W06000013,Bridgend,7,7,6,5,6,8,4,1,7,South East Wales
W01001461,Blaenau Gwent 007F,W06000019,Blaenau Gwent,3,3,3,3,3,5,4,3,1,South East Wales
W01000065,Gwynedd 009B,W06000002,Gwynedd,4,4,4,5,3,7,2,5,3,North Wales
W01000454,Powys 013A,W06000023,Powys,2,3,1,3,4,6,6,8,1,Mid and South West Wales
W01000198,Denbighshire 011B,W06000004,Denbighshire,1,1,1,1,1,4,5,8,3,North Wales
W01001143,Rhondda Cynon Taf 012A,W06000016,Rhondda Cynon Taf,6,6,6,5,5,5,5,5,4,South East Wales
W01001122,The Vale of Glamorgan 014F,W06000014,Vale of Glamorgan,9,7,8,8,6,6,9,8,9,South East Wales
W01001678,Newport 005D,W06000022,Newport,3,3,2,5,4,5,8,1,1,South East Wales
W01001102,The Vale of Glamorgan 013F,W06000014,Vale of Glamorgan,7,5,5,5,8,10,4,7,6,South East Wales
W01001146,Rhondda Cynon Taf 012D,W06000016,Rhondda Cynon Taf,6,7,5,5,4,8,3,6,7,South East Wales
W01001787,Cardiff 023C,W06000015,Cardiff,3,3,4,3,3,3,2,1,5,South East Wales
W01001128,The Vale of Glamorgan 001C,W06000014,Vale of Glamorgan,9,9,9,10,9,4,9,7,10,South East Wales
W01001372,Caerphilly 022B,W06000018,Caerphilly,7,7,6,6,5,10,7,1,4,South East Wales
W01000026,Isle of Anglesey 005D,W06000001,Isle of Anglesey,5,6,5,6,5,1,6,10,10,North Wales
W01000111,Gwynedd 007C,W06000002,Gwynedd,4,4,4,5,4,3,3,10,1,North Wales
W01000145,Conwy 008B,W06000003,Conwy,5,4,4,5,5,5,7,8,3,North Wales
W01001407,Caerphilly 016A,W06000018,Caerphilly,7,7,7,6,6,7,4,4,3,South East Wales
W01001439,Blaenau Gwent 004B,W06000019,Blaenau Gwent,7,7,6,4,5,7,7,5,6,South East Wales
W01001109,The Vale of Glamorgan 011C,W06000014,Vale of Glamorgan,8,7,7,6,8,5,8,4,9,South East Wales
W01000219,Denbighshire 001B,W06000004,Denbighshire,5,4,5,4,5,6,5,4,6,North Wales
W01000312,Flintshire 011B,W06000005,Flintshire,5,5,6,5,3,8,3,2,7,North Wales
W01000412,Wrexham 015D,W06000006,Wrexham,5,6,5,5,6,3,4,8,3,North Wales
W01001135,The Vale of Glamorgan 003C,W06000014,Vale of Glamorgan,9,10,10,10,8,3,9,4,6,South East Wales
W01001316,Merthyr Tydfil 005B,W06000024,Merthyr Tydfil,8,7,7,6,7,5,4,6,8,South East Wales
W01000528,Ceredigion 008B,W06000008,Ceredigion,5,5,4,7,4,3,6,10,4,Mid and South West Wales
W01000756,Swansea 017B,W06000011,Swansea,2,2,1,1,4,3,8,9,2,Mid and South West Wales
W01001875,Cardiff 037C,W06000015,Cardiff,3,3,4,4,2,5,7,1,1,South East Wales
W01001553,Monmouthshire 004B,W06000021,Monmouthshire,7,7,7,7,7,2,9,4,7,South East Wales
W01001900,Neath Port Talbot 020G,W06000012,Neath Port Talbot,3,3,2,2,4,6,3,8,6,Mid and South West Wales
W01000237,Denbighshire 006B,W06000004,Denbighshire,1,1,1,1,1,2,2,1,1,North Wales
W01000835,Swansea 013E,W06000011,Swansea,1,1,1,1,1,8,8,5,1,Mid and South West Wales
W01001575,Monmouthshire 005D,W06000021,Monmouthshire,7,9,10,10,8,1,2,7,6,South East Wales
W01000142,Conwy 010D,W06000003,Conwy,10,10,9,8,9,5,10,10,9,North Wales
W01000250,Flintshire 014B,W06000005,Flintshire,10,9,9,8,6,9,8,10,9,North Wales
W01000981,Bridgend 016B,W06000013,Bridgend,1,1,1,1,2,2,9,3,4,South East Wales
W01000216,Denbighshire 002D,W06000004,Denbighshire,3,3,3,3,5,7,5,6,2,North Wales
W01001584,Monmouthshire 008B,W06000021,Monmouthshire,7,6,7,5,6,7,8,3,7,South East Wales
W01000937,Neath Port Talbot 013E,W06000012,Neath Port Talbot,2,3,2,2,2,5,5,1,5,Mid and South West Wales
W01001260,Rhondda Cynon Taf 014C,W06000016,Rhondda Cynon Taf,1,1,1,1,2,2,3,3,3,South East Wales
W01001142,Rhondda Cynon Taf 005F,W06000016,Rhondda Cynon Taf,2,2,2,2,2,7,1,2,3,South East Wales
W01001208,Rhondda Cynon Taf 006E,W06000016,Rhondda Cynon Taf,2,3,1,3,4,7,2,7,5,South East Wales
W01000342,Wrexham 009B,W06000006,Wrexham,3,2,3,3,4,5,5,8,4,North Wales
W01000140,Conwy 010B,W06000003,Conwy,4,3,4,7,4,3,3,10,3,North Wales
W01000157,Conwy 004C,W06000003,Conwy,4,3,3,5,5,5,6,6,4,North Wales
W01000405,Wrexham 015B,W06000006,Wrexham,3,2,4,3,2,7,2,9,2,North Wales
W01001342,Caerphilly 021A,W06000018,Caerphilly,9,9,9,7,8,10,10,2,7,South East Wales
